AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
1972,Jalisco,JAL,Mujeres,1873932,22.36433819
1972,Jalisco,JAL,Hombres,1842469,21.36437845
1972,Michoacán,MICH,Mujeres,1291623,21.60423823
1972,Michoacán,MICH,Hombres,1303188,21.1010967
1972,Michoacán,MICH,Total,2594811,21.35266746
1972,Morelos,MOR,Hombres,357310,21.85536369
1972,Morelos,MOR,Total,714396,22.1459934
1972,Morelos,MOR,Mujeres,357086,22.43662311
1972,México,EDOMX,Total,4728837,20.80562248
1972,México,EDOMX,Mujeres,2344289,21.03313371
1972,México,EDOMX,Hombres,2384548,20.57811124
1972,Nayarit,NAY,Hombres,308277,21.76183757
1972,Nayarit,NAY,Mujeres,298196,21.82191243
1972,Nayarit,NAY,Total,606473,21.791875
1972,Nuevo León,NL,Hombres,968591,21.99919574
1972,Nuevo León,NL,Total,1923804,22.34876554
1972,Nuevo León,NL,Mujeres,955213,22.69833535
1972,Oaxaca,OAX,Total,2260626,22.04221447
1972,Oaxaca,OAX,Hombres,1126452,21.85691534
1972,Oaxaca,OAX,Mujeres,1134174,22.22751359
1972,Puebla,PUE,Total,2870352,22.02682612
1972,Puebla,PUE,Hombres,1430974,21.57994555
1972,Puebla,PUE,Mujeres,1439378,22.4737067
1972,Querétaro,QRO,Total,562119,21.27353771
1972,Querétaro,QRO,Mujeres,279332,21.56608265
1972,Querétaro,QRO,Hombres,282787,20.98099276
1972,Quintana Roo,QROO,Hombres,60913,21.37463267
1972,Quintana Roo,QROO,Total,116946,20.47986715
1972,Quintana Roo,QROO,Mujeres,56033,19.58510164
1972,República Mexicana,Nacional,Mujeres,27367705,22.07935046
1972,República Mexicana,Nacional,Total,54758696,21.77092508
1972,República Mexicana,Nacional,Hombres,27390991,21.4624997
1972,San Luis Potosí,SLP,Mujeres,713651,21.89137548
1972,San Luis Potosí,SLP,Total,1443384,21.76279413
1972,San Luis Potosí,SLP,Hombres,729733,21.63421279
1972,Sinaloa,SLOA,Total,1432970,21.45726035
1972,Sinaloa,SLOA,Mujeres,701005,21.46738183
1972,Sinaloa,SLOA,Hombres,731965,21.44713887
1972,Sonora,SON,Mujeres,612318,21.80604522
1972,Sonora,SON,Total,1235960,21.92341091
1972,Sonora,SON,Hombres,623642,22.0407766
1972,Tabasco,TAB,Total,864460,20.22635337
1972,Tabasco,TAB,Mujeres,425017,20.00428453
1972,Tabasco,TAB,Hombres,439443,20.44842221
1972,Tamaulipas,TAM,Total,1618545,22.38903287
1972,Tamaulipas,TAM,Hombres,808378,22.37405397
1972,Tamaulipas,TAM,Mujeres,810167,22.40401177
1972,Tlaxcala,TLAX,Hombres,239232,22.13680862
1972,Tlaxcala,TLAX,Total,471302,22.39926569
1972,Tlaxcala,TLAX,Mujeres,232070,22.66172276
1972,Veracruz,VER,Total,4354921,21.77107253
1972,Veracruz,VER,Hombres,2195118,21.50526669
1972,Veracruz,VER,Mujeres,2159803,22.03687836
1972,Yucatán,YUC,Hombres,437156,23.46616768
1972,Yucatán,YUC,Total,871062,23.3763038
1972,Yucatán,YUC,Mujeres,433906,23.28643992
1972,Zacatecas,ZAC,Total,1037956,21.07810116
1972,Zacatecas,ZAC,Hombres,520206,21.018831
1972,Zacatecas,ZAC,Mujeres,517750,21.13737132
1973,Aguascalientes,AG,Hombres,202077,21.07226453
1973,Aguascalientes,AG,Mujeres,205278,21.98914155
1973,Aguascalientes,AG,Total,407355,21.53070304
1973,Baja California,BC,Mujeres,500344,21.68747102
1973,Baja California,BC,Total,999566,21.64904257
1973,Baja California,BC,Hombres,499222,21.61061412
1973,Baja California Sur,BCS,Total,157262,21.79450501
1973,Baja California Sur,BCS,Mujeres,76535,21.68654864
1973,Baja California Sur,BCS,Hombres,80727,21.90246138
1973,Campeche,CAMP,Total,314606,21.6475076
1973,Campeche,CAMP,Mujeres,155790,21.36422107
1973,Campeche,CAMP,Hombres,158816,21.93079413
1973,Chiapas,CHIA,Mujeres,906266,20.14117047
1973,Chiapas,CHIA,Total,1843035,20.25085273
1973,Chiapas,CHIA,Hombres,936769,20.36053499
1973,Chihuahua,CH,Total,1807496,22.00401003
1973,Chihuahua,CH,Mujeres,898006,22.19324036
1973,Chihuahua,CH,Hombres,909490,21.81477971
1973,Ciudad de México,CDMX,Hombres,3804800,21.93379652
1973,Ciudad de México,CDMX,Mujeres,4044893,23.76391217
1973,Ciudad de México,CDMX,Total,7849693,22.84885435
1973,Coahuila,COH,Mujeres,639731,22.31416642
1973,Coahuila,COH,Hombres,652305,21.92415205
1973,Coahuila,COH,Total,1292036,22.11915923
1973,Colima,COL,Hombres,142590,21.50593309
1973,Colima,COL,Mujeres,140547,21.951518
1973,Colima,COL,Total,283137,21.72872555
1973,Durango,DGO,Total,1056246,21.32487129
1973,Durango,DGO,Mujeres,519324,21.40198219
1973,Durango,DGO,Hombres,536922,21.24776038
1973,Guanajuato,GJ,Mujeres,1301066,21.66990837
1973,Guanajuato,GJ,Total,2611441,21.3849994
1973,Guanajuato,GJ,Hombres,1310375,21.10009043
1973,Guerrero,GUE,Total,1871918,20.89994624
1973,Guerrero,GUE,Mujeres,933620,21.11041537
1973,Guerrero,GUE,Hombres,938298,20.68947712
1973,Hidalgo,HDGO,Mujeres,680033,21.9998353
1973,Hidalgo,HDGO,Total,1371200,21.7246875
1973,Hidalgo,HDGO,Hombres,691167,21.44953969
1973,Jalisco,JAL,Hombres,1890282,21.35823226
1973,Jalisco,JAL,Mujeres,1924882,22.36392153
1973,Jalisco,JAL,Total,3815164,21.8610769
1973,Michoacán,MICH,Mujeres,1318603,21.58917885
1973,Michoacán,MICH,Total,2646348,21.33944442
1973,Michoacán,MICH,Hombres,1327745,21.08971
1973,Morelos,MOR,Hombres,371814,21.84824939
1973,Morelos,MOR,Total,743552,22.14003752
1973,Morelos,MOR,Mujeres,371738,22.43182564
1973,México,EDOMX,Hombres,2548656,20.55780733
1973,México,EDOMX,Total,5058185,20.78249478
1973,México,EDOMX,Mujeres,2509529,21.00718222
1973,Nayarit,NAY,Hombres,316430,21.75129413
1973,Nayarit,NAY,Mujeres,306329,21.81103976
1973,Nayarit,NAY,Total,622759,21.78116694
1973,Nuevo León,NL,Hombres,1004058,22.00152481
1973,Nuevo León,NL,Total,1994696,22.34812643
1973,Nuevo León,NL,Mujeres,990638,22.69472804
1973,Oaxaca,OAX,Hombres,1143399,21.85243384
1973,Oaxaca,OAX,Mujeres,1149428,22.22931928
1973,Oaxaca,OAX,Total,2292827,22.04087656
1973,Puebla,PUE,Hombres,1468210,21.53454615
1973,Puebla,PUE,Total,2945634,21.97390367
1973,Puebla,PUE,Mujeres,1477424,22.41326119
1973,Querétaro,QRO,Hombres,294097,20.90950265
1973,Querétaro,QRO,Mujeres,290479,21.4773426
1973,Querétaro,QRO,Total,584576,21.19342262
1973,Quintana Roo,QROO,Hombres,67003,21.3061057
1973,Quintana Roo,QROO,Mujeres,61679,19.55265163
1973,Quintana Roo,QROO,Total,128682,20.42937866
1973,República Mexicana,Nacional,Total,56414565,21.77572447
1973,República Mexicana,Nacional,Mujeres,28200966,22.08384564
1973,República Mexicana,Nacional,Hombres,28213599,21.4676033
