AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
2000,Baja California,BC,Total,2495955,26
1982,Baja California,BC,Total,1290131,23
2003,Baja California,BC,Mujeres,1340717,26
2008,Baja California,BC,Hombres,1549795,27
2018,Baja California,BC,Total,3674434,30
2051,Baja California,BC,Mujeres,2512855,43
2050,Baja California,BC,Mujeres,2503669,43
1976,Baja California,BC,Mujeres,542203,22
1982,Baja California,BC,Mujeres,646378,23
2060,Baja California,BC,Mujeres,2560194,46
2024,Baja California,BC,Hombres,2066457,32
2061,Baja California,BC,Hombres,2681071,45
2048,Baja California,BC,Hombres,2586573,41
2048,Baja California,BC,Mujeres,2482896,42
2048,Baja California,BC,Total,5069469,41
2023,Baja California,BC,Total,4010510,32
2023,Baja California,BC,Mujeres,1977058,33
2023,Baja California,BC,Hombres,2033452,32
2065,Baja California,BC,Hombres,2681844,46
2065,Baja California,BC,Mujeres,2560024,47
2007,Baja California,BC,Total,3004841,27
2024,Baja California,BC,Mujeres,2005415,33
2065,Baja California,BC,Total,5241868,47
2024,Baja California,BC,Total,4071872,33
2009,Baja California,BC,Total,3134914,28
2009,Baja California,BC,Mujeres,1552018,28
2009,Baja California,BC,Hombres,1582896,27
2001,Baja California,BC,Hombres,1306033,26
2057,Baja California,BC,Total,5221125,44
2001,Baja California,BC,Mujeres,1264804,26
2001,Baja California,BC,Total,2570837,26
2054,Baja California,BC,Hombres,2649882,43
2057,Baja California,BC,Hombres,2669739,44
2054,Baja California,BC,Mujeres,2535657,44
2054,Baja California,BC,Total,5185539,43
2008,Baja California,BC,Total,3069155,27
2008,Baja California,BC,Mujeres,1519360,28
2027,Baja California,BC,Mujeres,2086347,34
2057,Baja California,BC,Mujeres,2551386,45
2006,Baja California Sur,BCS,Mujeres,265344,27
2054,Baja California Sur,BCS,Mujeres,624027,42
